"ARETE","AÑO","Estado","SEXO","RAZA","COLOR","MIC_VG"
"011-18","2018","PT","H","HU","B","0.3085"
"354-08","2018","PT","H","HU","B","0.3118"
"273-17","2018","PT","H","HU","B","0.3162"
"294-18M","2018","PT","M","HU","B","0.3314"
"263-15","2018","PT","H","HU","B","0.3333"
"085-09","2018","PT","H","HU","B","0.3399"
"194-17","2018","PT","H","HU","B","0.3444"
"132-06","2018","PT","H","HU","B","0.3762"
"096-05","2018","PT","H","HU","B","0.3831"
"066-15","2018","PT","H","HU","B","0.3916"
"124-16","2018","PT","H","HU","B","0.3978"
"541-17","2018","PT","H","HU","B","0.3998"
"471-16","2018","PT","H","HU","B","0.4078"
"541-08","2018","PT","H","HU","B","0.4083"
"150-16M","2018","PT","M","HU","B","0.4096"
"159-07","2018","PT","H","HU","B","0.4105"
"151-09","2018","PT","H","HU","B","0.4193"
"078-16","2018","PT","H","HU","B","0.4284"
"131-16","2018","PT","H","HU","B","0.4654"
"456-09","2018","PT","H","HU","B","0.4686"
"455-10","2018","PT","H","HU","B","0.4708"
"407-09","2018","PT","H","HU","B","0.4753"
"097-13","2018","PT","H","HU","B","0.4943"
"056-09","2018","PT","H","HU","B","0.5099"
"062-16","2018","PT","H","HU","B","0.547"
"088-16","2018","PT","H","HU","B","0.5511"
"566-07","2018","PT","H","HU","B","0.5822"
"405-16","2018","PT","H","HU","B","0.5892"
"508-12","2018","PT","H","HU","B","0.5918"
"129-08","2018","PT","H","HU","B","0.6076"
"598-17","2018","PT","H","HU","B","0.612"
"349-16","2018","PT","H","HU","B","0.6133"
"340-12","2018","PT","H","HU","B","0.6241"
"131-12","2018","PT","H","HU","B","0.6354"
"521-17","2018","PT","H","HU","B","0.6474"
"498-17","2018","PT","H","HU","B","0.6705"
"349-15","2018","PT","H","HU","B","0.6756"
"559-13","2018","PT","H","HU","B","0.6764"
"272-06","2018","PT","H","HU","B","0.6767"
"004-16","2018","PT","H","HU","B","0.6951"
"470-08","2018","PT","H","HU","B","0.6991"
"126-16","2018","PT","H","HU","B","0.7073"
"431-13","2018","PT","H","HU","B","0.738"
"102-08","2018","PT","H","HU","B","0.7551"
"556-12","2018","PT","H","HU","B","0.7905"
"173-15M","2018","PT","M","HU","B","0.7936"
"633-17","2018","PT","H","HU","B","0.7973"
"134-13","2018","PT","H","HU","B","0.7993"
"451-10","2018","PT","H","HU","B","0.8071"
"169-14","2018","PT","H","HU","B","0.8249"
"046-12","2018","PT","H","HU","B","0.8485"
"066-14","2018","PT","H","HU","B","0.8628"
"424-06R","2018","PT","H","HU","B","0.8798"
"003-15","2018","PT","H","HU","B","0.924"
"430-07E","2018","PT","H","HU","B","0.9355"
"238-05","2018","PT","H","HU","B","0.9618"
"608-13","2018","PT","H","HU","B","0.9768"
"496-10","2018","PT","H","HU","B","0.9854"
"014-08","2018","PT","H","HU","B","0.9978"
"513-07","2018","PT","H","HU","B","1.016"
"112-06","2018","PT","H","HU","B","1.022"
"543-16","2018","PT","H","HU","B","1.0293"
"510-17","2018","PT","H","HU","B","1.0439"
"425-17","2018","PT","H","HU","B","1.0686"
"376-06","2018","PT","H","HU","B","1.0913"
